perusahaan;instansi;hps;hasil_lelang;limit;pagu;score11
PT. KARYA NUGRAHA KONSULTAMA;-;334604935.54;224290000.0;314614980.0;358740000;0
CV.AXL DEYAN;BALAI TEKNOLOGI INFRASTRUKTUR PELABUHAN DAN DINAMIKA PANTAI (BTIPDP);400360000.0;387750000.0;410137820.0;467660000;0
CV. BATOR ACEH CONSULTANT;DINAS PEKERJAAN UMUM DAN PERUMAHAN RAKYAT;176660000.0;175780000.0;155346518.0;177134000;0.93785422289735
CV. LAE SAGA GROUP;DITJEN PKTRANS - DINAS TENAGA KERJA DAN TRANSMIGRASI KOTA SUBULUSSALAM;279312000.0;263947000.0;249945000.0;285000000;0.39942946797889034
CV.RATU;-;0.0;110000000.0;4374914500.0;4988500000;0
CV.TABINA PUSAKA;RUMAH SAKIT UMUM DAERAH;1962120000.0;1941450000.0;1721077420.0;1962460000;0.9129597504509231
CV. AQFA KARIM;RUMAH SAKIT UMUM DAERAH;678700000.0;664698000.0;595483000.0;679000000;0.8287534274459092
CV. VISCO CONTRACTOR;MAN Padang Japang Kab. Limapuluh Kota;176513000.0;172229000.0;175400000.0;200000000;0
CV. RIZKY SEPADAN;RUMAH SAKIT UMUM DAERAH;905250000.0;895119000.0;794474300.0;905900000;0.9032449425940335
CV.AIRRO JAYA;DINAS PEMUDA DAN OLAHRAGA;364334000.0;350657000.0;324928500.0;370500000;0.5645743501969432
CV.CICUBA CONSULTANT;DINAS PEKERJAAN UMUM DAN PERUMAHAN RAKYAT;199760000.0;197725000.0;175224600.0;199800000;0.9155659724765416
CV. Karya Sejahtera;Madrasah  Tsanawiyah  Negeri  Bangsalsari;259834000.0;187150000.0;266608000.0;304000000;0
PT SEMANGAT ENAM SAUDARA;-;381700000.0;226050000.0;334750900.0;381700000;0
Mekar Setia Langgeng;-;400000000.0;202400000.0;350800000.0;400000000;0
CV. MULTI TEKNIK PRIMA KONSULTANT;DINAS PEKERJAAN UMUM DAN PERUMAHAN RAKYAT;199210000.0;192621000.0;175400000.0;200000000;0.700040650406504
BATEE MANDIRI;DINAS PERTANIAN PERKEBUNAN DAN PERIKANAN;1000000000.0;998000000.0;877000000.0;1000000000;0.983739837398374
CV. SAMUDERA;RUMAH SAKIT UMUM DAERAH;1100140000.0;1031653000.0;964825014.596;1100142548;0.4938605051607051
CV.KRISHNA JAYA SENTOSA;DINAS PEKERJAAN UMUM DAN PENATAAN RUANG;518115400.0;314743000.0;454387205.8;518115400;0
CV. FISABILILLAH;-;0.0;121700000.0;120587500.0;137500000;0.06577974870657799
CV. Raniatama Consultant;Dinas Pekerjaan Umum;177318000.0;158378000.0;158982560.0;181280000;0
PT. CITRA MURNI SEMESTA;Sekolah Tinggi Agama Kristen Negeri (STAKN) Manado;273000000.0;234135000.0;7338736000.0;8368000000;0
CV PRADHANA JAYA UTAMA;-;0.0;105650000.0;438500000.0;500000000;0
CV. SULAWESI MEMBANGUN;-;0.0;1160000000.0;306950000.0;350000000;19.81533101045296
-;-;464988566.68;372003465.06;452732833.0;516229000;0
-;-;266462350.0;236417500.0;263100000.0;300000000;0
-;-;1332540000.0;1330065000.0;1217276000.0;1388000000;0.6606511093929384
CV. FAJAR RAYA;Sekretariat DPRD Kota Bontang;382000000.0;360360000.0;789300000.0;900000000;0
CV. Kusuma Abadi;BADAN PENANGGULANGAN BENCANA DAERAH;60200000.0;59840000.0;52795400.0;60200000;0.9513815736164006
PT. RIOINDO JAYA;IAIN IMAM BONJOL PADANG;9650000000.0;9456450000.0;8463050000.0;9650000000;0.8369350014743671
Dua Samudera;DINAS PEKERJAAN UMUM DAN PENATAAN RUANG;292500000.0;282770000.0;256522500.0;292500000;0.7295531929678272
-;-;1110900000.0;1110900000.0;983925594.0;1121922000;0.9201283546471493
-;-;1200000000.0;1170235000.0;1052400000.0;1200000000;0.798340108401084
-;-;600000000.0;584400000.0;526200000.0;600000000;0.7886178861788617
-;-;400000000.0;384000000.0;370971000.0;423000000;0.2504180360952546
-;DIREKTORAT PEMBINAAN SMK;4249850000.0;4190000000.0;3727250000.0;4250000000;0.8852223816355811
-;-;484750000.0;474320000.0;425125750.0;484750000;0.8250711748994746
-;-;694980000.0;669000000.0;724392703.8;825989400;0
-;-;656083900.0;619500000.0;575385580.3;656083900;0.5466584665454939
-;Divisi Umum;1181400000.0;1108290000.0;1052400000.0;1200000000;0.37865853658536586
-;-;975706600.0;887409600.0;5262000000.0;6000000000;0
-;-;253530124.8;243134016.0;467375049.6;532924800;0
"CV. BLI&#039;S KONSTRUKSI";MAN Kasipute;151860000.0;140164000.0;145582000.0;166000000;0
-;-;364571252.13;363962281.69;320105000.0;365000000;0.9768856596502951
-;-;298350000.0;289179000.0;263100000.0;300000000;0.7067479674796748
-;POLITEKNIK NEGERI MALANG;833371000.0;594899000.0;736680000.0;840000000;0
-;Universitas Indonesia;383399137.0;371558124.58;613900000.0;700000000;0
-;Universitas Diponegoro;463320080.0;416944000.0;435518200.0;496600000;0
-;-;263300000.0;261816000.0;230914100.0;263300000;0.9541775896300551
-;-;591030000.0;574015000.0;543740000.0;620000000;0.3969971151324416
-;-;80115103000.0;72113690000.0;73072554601.375;83321042875;0
-;-;458465700.0;444620000.0;410699100.0;468300000;0.5888953123996327
-;-;19998213400.0;19996367000.0;17540000000.0;20000000000;0.9985231707317073
-;-;9584777125.0;9582919249.98;8407478895.0;9586635000;0.9968488056803976
CV. KARYA MUDA;-;4050896088.27;228382000.0;3552636669.0;4050897000;0
-;-;1265000000.0;1225000000.0;1359350000.0;1550000000;0
-;-;134500000.0;131400000.0;118395000.0;135000000;0.7831978319783197
-;Universitas Diponegoro;1157236394.0;1141881000.0;1014913857.538;1157256394;0.8919831388272006
cv.alifindo perkasa;MTsN Ujung Gading Kab. Pasaman Barat;167600000.0;132547000.0;149090000.0;170000000;0
-;-;3565873833.4;3518822745.08;3128977263.0;3567819000;0.8883509684950498
-;-;2015000000.0;1900000000.0;1769179993.0;2017309000;0.5272257709071475
-;Universitas Indonesia;1704073734.55;1483223500.0;1588318738.6;1811081800;0
DWIJA KARYA;-;0.0;303567000.0;1052400000.0;1200000000;0
CV. FISABILILLAH;-;0.0;120711000.0;181933737.7;207450100;0
-;-;2953750523.64;2894867010.12;2592146269.0;2955697000;0.8326781252435438
-;-;659340000.0;572000000.0;578241180.0;659340000;0
-;-;1199861000.0;1127449000.0;1052400000.0;1200000000;0.5084620596205962
-;-;3999828000.0;2927039000.0;3508000000.0;4000000000;0
-;-;3139273500.0;3064215000.0;3069496492.0;3499996000;0
-;-;346184220.91;342584010.78;304319000.0;347000000;0.8965350104261843
-;-;738662500.0;715457600.0;647807012.5;738662500;0.7445955039314494
-;-;1049990657.92;999983589.0;921990100.0;1051300000;0.6031517231085941
CV. GARDEN BUANA;Kantor Kementerian Agama Kabupaten Muara Enim;288850000.0;285500000.0;305196000.0;348000000;0
CV. PENDOWO KARYA SEJAHTERA;Madrasah Ibtidaiyah Negeri 7 Cengkareng;390396000.0;338642000.0;438500000.0;500000000;0
-;-;484379000.0;469469000.0;431512941.0;492033000;0.627164937165709
-;-;538783500.91;484000000.0;477712967.74;544712620;0.09383678941500218
-;-;1800000000.0;1781000000.0;1578600000.0;1800000000;0.9141824751580849
-;-;2211480700.0;1857244400.0;5262000000.0;6000000000;0
CV. ASTHAGHINA;Madrasah Aliyah Negeri 1 Gresik;128420000.0;126940000.0;112738350.0;128550000;0.8981763446572621
-;Universitas Indonesia;1234829101.73;1134949666.43;1202245653.895;1370861635;0
