NKT,NKTscore,P,Pscore,Q,Qscore,S,Sscore,W,Wscore,kode_lelang,nama_paket,score,tahun_anggaran
1,0.2,5,0.0,0,0.05,1,0.2,1,0.15,855550,Pengawasan Teknis Pembangunan Jalan BPT UPT Desa danau Tras Cs (Otsus),0.6000000000000001,2017
2,0.15,5,0.0,0,0.05,1,0.2,1,0.15,858550,Bantuan pangan non beras (T+2) Lok. UPT XX. S. SALAM  [10 BLN x 30 KK],0.55,2017
5,0.0,5,0.0,0,0.05,1,0.2,1,0.15,840550,Pembangunan gedung CSSD (DAK),0.4,2017
5,0.0,5,0.0,0,0.05,1,0.2,1,0.15,845550,Pembangunan/pembuatan nurse station RSUD (OTSUS),0.4,2017
5,0.0,5,0.0,0,0.05,1,0.2,1,0.15,842550,Pembangunan gedung laundry RSUD (DAK),0.4,2017
1,0.2,5,0.0,0,0.05,1,0.2,1,0.15,854550,"Pengawasan Teknis Peningkatan Jalan Makam Sultan Daulat (Tahap II) (Ruas 0+570 s/d 1+570) (Aspal AC BC), Cs (Pendukung DAK)",0.6000000000000001,2017
1,0.2,5,0.0,0,0.05,1,0.2,1,0.15,857550,"Pengawasan Teknis Pembangunan jalan Dua Jalur Sultan Daulat, Cs",0.6000000000000001,2017
5,0.0,5,0.0,0,0.05,1,0.2,1,0.15,852550,Pembangunan jalan produksi kota subulussalam tahap II (OTSUS),0.4,2017
2,0.15,5,0.0,0,0.05,1,0.2,1,0.15,985550,Pembangunan Tugu Penanggalan,0.55,2017
5,0.0,5,0.0,0,0.05,1,0.2,1,0.15,843550,Pembangunan lanjutan jalan lingkar komplek RSUD (OTSUS),0.4,2017
2,0.15,5,0.0,0,0.05,1,0.2,1,0.15,1490102,Rehab Masjid LDII Sukaraja,0.55,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,990459,Pengadaan Bahan Pembasmi Jentik,0.4,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,6767333,Pengadaan Bahan Material Pemeliharaan,0.25,2017
1,0.2,5,0.0,0,0.05,1,0.2,4,0.0,2454589,Pendataan Unsur Nama Rupabumi,0.45,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,1311068,Pengadaan Buku Pustaka,0.4,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,3348364,Pembangunan Jaringan Listrik di Kecamatan Kaubun,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,2573191,Pengadaan Alat Laboratorium Paket IV,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,33507127,Pengadaan Perlengkapan Petugas Operasional Penanggulangan Kebakaran,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,606504,Kendaraan Bermotor Beroda Empat,0.25,2017
2,0.15,5,0.0,0,0.05,1,0.2,4,0.0,33500127,Pengadaan Motor Pompa untuk Masyarakat,0.4,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,33453127,Pengadaan Perlengkapan Unit Operasional Kebakaran dan Penyelamatan,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,17658047,Konsultan DED Pembangunan Wilker Entikong KKP Kelas II Pontianak TA 2017,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,438519,Pekerjaan Pembangunan GOR Santri Pesantren Madrasatul Qur&#039;an,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,14177106,Makanan dan Minuman Ringan Pasien Jam 10.00 WIB,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,442519,Pekerjaan Konstruksi Pembangunan GOR Santri Yayasan Nurul Islam,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,1481489,Jasa Konsultansi Pembangunan Jalan Sikabaluan - Monganpoula,0.25,2017
5,0.0,5,0.0,0,0.05,5,0.0,4,0.0,7250044,HAR GEDUNG DAN BANGUNAN AKPOL TA 2018,0.05,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,1333068,Normalisasi Lahan Pegaraman Pamekasan Paket B,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,1005190,Pengadaan Lisensi Adobe ETLA 2018,0.25,2017
1,0.2,5,0.0,0,0.05,1,0.2,4,0.0,440519,Pekerjaan Jasa Konsultan Pengawas Pembangunan GOR Santri Madrasatul Qur&#039;an,0.45,2017
1,0.2,5,0.0,0,0.05,1,0.2,4,0.0,41945114,Pengawasan Subsidi Operasi Angkutan Perintis di Provinsi Kalimantan Tengah,0.45,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,1334068,Normalisasi Lahan Pegaraman Pamekasan Paket F,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,1479489,Jasa Konsultansi Pengawasan Pembangunan Jalan Matobe - Saumanganyak,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,1337068,Normalisasi Lahan Pegaraman Sampang Paket G,0.25,2017
5,0.0,5,0.0,0,0.05,1,0.2,4,0.0,12168170,Pengadaan Outsourcing Petugas Satuan Pengamanan (SATPAM) Tahun 2018,0.25,2017
